algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,32,0.03,0.0296343,82.7531,km1,37424,32003,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,32,0.03,0.029319,83.1287,km1,37516,32035,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,32,0.03,0.029319,78.4703,km1,37396,31862,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,32,0.03,0.0290038,81.9486,km1,36947,31535,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,32,0.03,0.029319,76.6151,km1,37434,31911,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,32,0.03,0.0299496,73.1806,km1,36581,31144,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,32,0.03,0.0299496,75.4618,km1,37368,31853,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,32,0.03,0.0299496,88.4875,km1,37242,31774,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,32,0.03,0.0290038,79.8277,km1,37409,31838,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,32,0.03,0.0283733,88.975,km1,37218,31712,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,4,0.03,0.0297166,52.7066,km1,10475,10258,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,4,0.03,0.0288102,45.8047,km1,10475,10260,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,4,0.03,0.0292437,40.074,km1,10537,10332,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,4,0.03,0.0294802,43.7476,km1,10498,10272,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,4,0.03,0.0299925,48.4925,km1,10501,10280,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,4,0.03,0.0297955,45.0018,km1,10629,10407,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,4,0.03,0.0272731,38.8407,km1,10975,10762,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,4,0.03,0.0298743,47.918,km1,10498,10275,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,4,0.03,0.0298743,43.4389,km1,10498,10289,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,4,0.03,0.0299925,43.2225,km1,10678,10484,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,64,0.03,0.0296343,109.594,km1,50389,40890,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,64,0.03,0.0296343,114.733,km1,50708,41099,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,64,0.03,0.0296343,103.064,km1,50594,40916,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,64,0.03,0.0296343,112.582,km1,50619,40965,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,64,0.03,0.0296343,90.4636,km1,50918,41241,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,64,0.03,0.0296343,106.033,km1,50811,41078,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,64,0.03,0.0296343,92.7499,km1,50725,41040,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,64,0.03,0.0296343,102.763,km1,50141,40630,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,64,0.03,0.0296343,114.542,km1,50233,40771,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,64,0.03,0.0296343,96.197,km1,50894,41176,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,8,0.03,0.0231733,51.3916,km1,18436,17075,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,8,0.03,0.0297943,46.3624,km1,18605,17260,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,8,0.03,0.0266414,51.2215,km1,18345,16961,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,8,0.03,0.0249074,45.1266,km1,18091,16808,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,8,0.03,0.0247497,46.8581,km1,18433,17053,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,8,0.03,0.0290061,52.1118,km1,18458,17094,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,8,0.03,0.0275085,43.7628,km1,18668,17288,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,8,0.03,0.0291637,43.284,km1,18356,17022,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,8,0.03,0.025538,47.9756,km1,18345,16978,no
kKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,8,0.03,0.0258532,45.9726,km1,18336,16980,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,128,0.03,0.0283688,11.3258,km1,15486,13895,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,128,0.03,0.0283688,11.5817,km1,15603,13998,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,128,0.03,0.0283688,11.391,km1,15720,14117,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,128,0.03,0.0283688,11.0099,km1,15546,13903,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,128,0.03,0.0283688,11.1989,km1,15632,14003,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,128,0.03,0.0283688,11.1363,km1,15562,13959,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,128,0.03,0.0283688,11.3375,km1,15544,13923,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,128,0.03,0.0283688,11.1838,km1,15595,13978,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,128,0.03,0.0283688,11.4813,km1,15629,14002,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,128,0.03,0.0283688,11.1604,km1,15560,13960,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,16,0.03,0.0198401,4.25189,km1,4448,4307,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,16,0.03,0.0272431,4.63745,km1,4350,4197,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,16,0.03,0.024578,4.31554,km1,4404,4257,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,16,0.03,0.0228013,4.5329,km1,4420,4257,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,16,0.03,0.026947,4.15983,km1,4368,4218,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,16,0.03,0.0251703,4.27904,km1,4348,4198,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,16,0.03,0.0233935,4.5227,km1,4385,4241,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,16,0.03,0.0236897,4.27928,km1,4455,4310,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,16,0.03,0.0210246,4.79652,km1,4377,4227,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,16,0.03,0.0198401,4.2968,km1,4406,4253,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,2,0.03,0.0228064,1.79308,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,2,0.03,0.0228064,2.16059,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,2,0.03,0.0228064,1.56752,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,2,0.03,0.0228064,1.55776,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,2,0.03,0.0228064,1.51922,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,2,0.03,0.0228064,1.64273,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,2,0.03,0.0228064,1.87044,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,2,0.03,0.0228064,1.51419,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,2,0.03,0.0228064,2.07286,km1,460,460,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,2,0.03,0.0261755,1.60026,km1,466,466,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,32,0.03,0.026643,5.88006,km1,6867,6546,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,32,0.03,0.0284192,6.23385,km1,6844,6505,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,32,0.03,0.0248668,6.02951,km1,6928,6592,no
