algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,64,0.03,0.0295858,6.85488,km1,10556,9787,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,64,0.03,0.0295858,6.80223,km1,10495,9732,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,64,0.03,0.0295858,6.56406,km1,10593,9851,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,64,0.03,0.0295858,7.01213,km1,10526,9776,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,64,0.03,0.0295858,6.91248,km1,10480,9706,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,64,0.03,0.0295858,7.12611,km1,10587,9838,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,64,0.03,0.0295858,6.83605,km1,10480,9738,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,64,0.03,0.0295858,7.04032,km1,10558,9832,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,0,8,0.03,0.0171776,2.18912,km1,2572,2517,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,1,8,0.03,0.0199911,2.19144,km1,2573,2518,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,2,8,0.03,0.0272471,2.17396,km1,2588,2536,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,3,8,0.03,0.0281356,2.11687,km1,2589,2531,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,4,8,0.03,0.0211758,2.43792,km1,2580,2528,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,5,8,0.03,0.0106619,2.03026,km1,2598,2546,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,6,8,0.03,0.0149563,2.13765,km1,2618,2560,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,7,8,0.03,0.0290241,2.10755,km1,2538,2486,no
