algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,0,8,0.03,0.0292425,52.889,cut,25633,17650,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,1,8,0.03,0.0275873,57.4195,cut,24625,17557,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,2,8,0.03,0.0299519,73.7646,cut,25384,17391,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,3,8,0.03,0.0288484,61.0498,cut,25267,17700,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,4,8,0.03,0.0298731,86.3764,cut,23714,17614,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,5,8,0.03,0.0298731,66.9063,cut,27604,17617,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,6,8,0.03,0.0295578,82.2592,cut,24236,17935,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,7,8,0.03,0.0299519,61.2192,cut,25291,17651,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,8,8,0.03,0.0299519,53.826,cut,25836,17518,no
rKaHyPar,2cubes_sphere.mtx.hgr,no,no,9,8,0.03,0.0288484,76.9398,cut,23097,17577,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,128,0.03,0.0283688,15.519,cut,16735,14277,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,128,0.03,0.0283688,11.0928,cut,17113,14405,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,128,0.03,0.0283688,11.1337,cut,16955,14349,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,128,0.03,0.0283688,10.9984,cut,17010,14510,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,128,0.03,0.0283688,11.1392,cut,16936,14290,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,128,0.03,0.0283688,15.52,cut,16901,14364,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,128,0.03,0.0283688,11.2707,cut,16681,14274,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,128,0.03,0.0283688,11.11,cut,16939,14343,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,128,0.03,0.0283688,15.5227,cut,17214,14365,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,16,0.03,0.0290198,7.73144,cut,4737,4580,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,16,0.03,0.0290198,5.41588,cut,4606,4449,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,16,0.03,0.0216168,5.40424,cut,4623,4439,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,16,0.03,0.0260586,5.44235,cut,4576,4407,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,16,0.03,0.0189517,7.62786,cut,4573,4425,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,16,0.03,0.0290198,7.65092,cut,4580,4417,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,16,0.03,0.0162866,7.60927,cut,4536,4379,no
