"graph","k","seed","epsilon","km1","imbalance","totalPartitionTime","failed","timeout","algorithm","objective","cut"
"2D_54019_highK.mtx.hgr",16,10,0.03,4820,0.03,39.85,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,1,0.03,7611,0.03,50.02,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,2,0.03,7593,0.03,49.91,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,3,0.03,7507,0.029,48.1,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,4,0.03,7500,0.029,48.83,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,5,0.03,7608,0.029,48.25,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,6,0.03,7536,0.029,48.56,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,7,0.03,7482,0.03,49.41,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,8,0.03,7499,0.03,48.76,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,9,0.03,7576,0.029,48.48,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",32,10,0.03,7530,0.03,49.32,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,1,0.03,11494,0.03,57.75,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,2,0.03,11496,0.03,57.54,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,3,0.03,11431,0.03,59.01,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,4,0.03,11505,0.028,58.18,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,5,0.03,11460,0.03,57.11,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,6,0.03,11370,0.028,57.79,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,7,0.03,11505,0.03,58.53,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,8,0.03,11396,0.028,57.85,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,9,0.03,11474,0.03,57.64,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",64,10,0.03,11474,0.03,58.69,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,1,0.03,17068,0.031,65.42,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,2,0.03,16868,0.031,65.66,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,3,0.03,16916,0.031,65.82,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,4,0.03,17072,0.031,66.27,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,5,0.03,16975,0.031,66.94,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,6,0.03,16946,0.028,65.62,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,7,0.03,16932,0.031,65.4,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,8,0.03,16942,0.031,65.74,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,9,0.03,17041,0.031,65.15,"no","no","Zoltan-AlgD","km1",0
"2D_54019_highK.mtx.hgr",128,10,0.03,17037,0.031,65.66,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,1,0.03,6968,0.03,168.89,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,2,0.03,7193,0.03,170.22,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,3,0.03,7258,0.03,168.5,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,4,0.03,7150,0.03,168.8,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,5,0.03,6970,0.03,162.35,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,6,0.03,6971,0.03,166.94,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,7,0.03,6970,0.03,165.53,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,8,0.03,6975,0.029,165.67,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,9,0.03,7283,0.03,168.27,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",2,10,0.03,6984,0.03,167.44,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,1,0.03,21310,0.03,318.62,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,2,0.03,21558,0.03,327.16,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,3,0.03,21450,0.03,321.32,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,4,0.03,21626,0.03,323.71,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,5,0.03,21371,0.03,317.36,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,6,0.03,21362,0.03,319.09,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,7,0.03,21825,0.03,321.95,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,8,0.03,21272,0.03,325.61,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,9,0.03,21430,0.03,321.31,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",4,10,0.03,21561,0.03,321.09,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,1,0.03,42406,0.03,478.44,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,2,0.03,41651,0.028,471.26,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,3,0.03,42858,0.03,471.06,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,4,0.03,41576,0.03,478.55,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,5,0.03,42559,0.03,471.3,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,6,0.03,42580,0.03,469.02,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,7,0.03,44852,0.03,472.31,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,8,0.03,42535,0.03,479.99,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,9,0.03,40890,0.027,472.74,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",8,10,0.03,41976,0.03,471.38,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",16,1,0.03,68682,0.03,624.91,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",16,2,0.03,68086,0.03,622.47,"no","no","Zoltan-AlgD","km1",0
"3Dspectralwave2.mtx.hgr",16,3,0.03,68023,0.03,623.57,"no","no","Zoltan-AlgD","km1",0
