"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"2cubes_sphere.mtx.hgr",32,0.03,10,40055,0.0179697351828,184.607,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,1,54513,0.0226986128625,197.3,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,2,54445,0.0226986128625,210.535,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,3,54887,0.0245901639344,200.039,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,4,54402,0.0170239596469,198.951,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,5,54629,0.0182849936948,195.241,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,6,54547,0.0208070617907,204.229,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,7,54612,0.0239596469105,204.808,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,8,54645,0.0258511979823,202.894,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,9,54661,0.0201765447667,194.916,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",64,0.03,10,54433,0.0245901639344,205.668,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,1,73045,0.0226986128625,234.347,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,2,73447,0.0252206809584,244.97,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,3,73368,0.0252206809584,241.556,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,4,73606,0.0214375788146,237.559,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,5,72966,0.015132408575,236.062,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,6,73509,0.0201765447667,251.921,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,7,73149,0.0214375788146,234.769,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,8,73332,0.0214375788146,236.302,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,9,73394,0.0201765447667,230.399,"km1","hMetis-R","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,10,73582,0.0226986128625,252.226,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,1,465,0.00244353942984,5.448,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,2,466,0.0216216216216,5.319,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,3,465,0.0283968900407,5.471,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,4,462,0.00192521288412,5.363,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,5,463,0.0231395779341,5.462,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,6,465,0.0125138837468,5.39,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,7,465,0.0294705664569,5.358,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,8,466,0.0269529803776,5.303,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,9,466,0,5.395,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,10,466,0.0166234727879,5.38,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,1,1251,0.00977415771936,9.809,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,2,1249,0.0122917437986,9.77,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,3,1251,0.00081451314328,9.725,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,4,1251,7.40466493891e-05,10.029,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,5,1244,0.0127360236949,9.735,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,6,1249,7.40466493891e-05,9.7,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,7,1251,0.0127360236949,9.904,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,8,1249,0.000148093298778,9.854,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,9,1252,7.40466493891e-05,9.655,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,10,1251,0.0125138837468,9.847,"km1","hMetis-R","no","no",0
