"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"2cubes_sphere.mtx.hgr",128,0.03,4,75319,0.0290038,8.5859,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,5,75180,0.0290038,8.606281,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,6,75568,0.0290038,8.577904,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,7,75271,0.0290038,8.593327,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,8,75354,0.0290038,8.616404,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,9,74853,0.0290038,8.606984,"km1","Mondriaan","no","no",0
"2cubes_sphere.mtx.hgr",128,0.03,10,75121,0.0290038,8.464237,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,1,470,0.00696039,0.417732,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,2,466,0.0157349,0.411862,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,3,504,0.0194002,0.417758,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,4,476,0.00099963,0.421705,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,5,475,0.0278415,0.415146,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,6,501,0.0191411,0.405412,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,7,470,0.0178082,0.418586,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,8,470,0.0232136,0.426264,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,9,505,0.0176971,0.432521,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",2,0.03,10,503,0.011033,0.420696,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,1,1325,0.028582,0.825776,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,2,1265,0.028508,0.852562,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,3,1287,0.0176971,0.836931,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,4,1310,0.0262866,0.829262,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,5,1379,0.00755276,0.852561,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,6,1267,0.0149574,0.851037,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,7,1303,0.0215476,0.856325,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,8,1268,0.0276934,0.834104,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,9,1256,0.023843,0.862288,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,10,1310,0.0175491,0.814756,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,1,2960,0.0228047,1.259538,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,2,2695,0.0213239,1.295496,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,3,2690,0.0279876,1.273223,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,4,2826,0.0189545,1.242014,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,5,3302,0.0268029,1.274701,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,6,2763,0.0297645,1.273767,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,7,2796,0.0279876,1.271557,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,8,2727,0.0293203,1.263128,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,9,2904,0.0297645,1.276262,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,10,3415,0.0217681,1.286173,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,1,5194,0.026947,1.648475,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,2,5086,0.026947,1.631606,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,3,5084,0.0296121,1.643009,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,4,4927,0.0296121,1.654132,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,5,5021,0.0236897,1.637654,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,6,5059,0.0296121,1.65492,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,7,5085,0.0296121,1.604952,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,8,4898,0.0263548,1.698835,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,9,4975,0.0296121,1.698902,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,10,5109,0.0281315,1.624339,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,1,7769,0.0284192,2.060013,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,2,7971,0.0284192,2.104281,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,3,8130,0.0284192,2.076541,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,4,7896,0.0284192,2.042984,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,5,7871,0.0290112,2.034632,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,6,7598,0.0284192,2.033527,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,7,8047,0.0284192,2.060177,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,8,7696,0.0284192,2.060463,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,9,7852,0.0284192,2.054504,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,10,7838,0.0290112,2.086427,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,1,11562,0.0272189,2.538129,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,2,11672,0.0272189,2.598966,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,3,11609,0.0284024,2.566005,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,4,11903,0.0284024,2.573169,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,5,11727,0.0272189,2.591712,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,6,11881,0.0260355,2.536917,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,7,11786,0.0260355,2.565561,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,8,12053,0.0272189,2.520982,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,9,11426,0.0272189,2.629635,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,10,11833,0.0272189,2.555921,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,1,17188,0.0236407,3.150664,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,2,17316,0.0236407,3.175169,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,3,17058,0.0236407,3.183126,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,4,17426,0.0260047,3.156475,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,5,17344,0.0260047,3.228828,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,6,17463,0.0260047,3.1464,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,7,17407,0.0236407,3.144949,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,8,17427,0.0260047,3.191886,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,9,17140,0.0260047,3.184966,"km1","Mondriaan","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,10,17053,0.0260047,3.161711,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,1,7175,0.0299992,7.683463,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,2,7175,0.0299992,7.774965,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,3,7307,0.02152,7.282983,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,4,7777,0.0197118,7.337874,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,5,7175,0.0299992,7.758202,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,6,7978,0.0299992,7.557111,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,7,7800,0.020883,7.251844,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,8,7175,0.0299992,7.671586,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,9,7447,0.001589,7.23871,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,10,7304,0.0299992,7.521557,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,1,21599,0.0299992,14.655684,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,2,23726,0.0299992,14.269301,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,3,23104,0.01589,14.445839,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,4,22332,0.0299992,14.705406,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,5,22075,0.0299992,14.189201,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,6,22063,0.0299992,15.065997,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,7,23607,0.0299992,14.42067,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,8,21537,0.0299992,14.658279,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,9,22176,0.0299992,14.500993,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,10,22300,0.0299992,14.523504,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,1,43320,0.0272869,21.274112,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,2,43628,0.0299992,21.182246,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,3,41603,0.0299718,20.879013,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,4,44540,0.0288759,21.56102,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,5,42298,0.0289581,21.356031,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,6,42429,0.0297526,21.059697,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,7,43116,0.0203282,21.077927,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,8,44053,0.0295608,20.559183,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,9,42497,0.0298896,21.072868,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,10,42096,0.0287115,21.362924,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,1,70265,0.029971,26.653849,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,2,72245,0.0298614,26.916861,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,3,69996,0.0291491,27.44735,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,4,70604,0.0298614,27.145351,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,5,69651,0.0290943,27.183784,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,6,72173,0.0284916,26.651504,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,7,69034,0.029971,27.05729,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,8,70126,0.0292587,26.792399,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,9,70455,0.0296422,27.049625,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,10,70908,0.029971,26.820863,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",32,0.03,1,105639,0.0299145,31.819103,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",32,0.03,2,102824,0.0299145,33.40457,"km1","Mondriaan","no","no",0
"3Dspectralwave2.mtx.hgr",32,0.03,3,105950,0.0299145,32.576164,"km1","Mondriaan","no","no",0
