"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"2D_54019_highK.mtx.hgr",128,0.03,1,"kMinusOne",16732,0,0.852,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,2,"kMinusOne",16927,0.00236406619385,0.845,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,3,"kMinusOne",16870,0,0.85,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,4,"kMinusOne",16860,0.00709219858156,0.849,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,5,"kMinusOne",16808,0.00236406619385,0.849,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,6,"kMinusOne",16785,0.00709219858156,0.848,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,7,"kMinusOne",16966,0,0.846,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,8,"kMinusOne",17007,0.00236406619385,0.849,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,9,"kMinusOne",16861,0,0.849,"PaToH-D","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,10,"kMinusOne",16967,0.00709219858156,0.851,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,1,"kMinusOne",6975,0.0287115421495,2.297,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,2,"kMinusOne",7017,0.0299580833402,2.274,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,3,"kMinusOne",7002,0.0290197528835,2.28,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,4,"kMinusOne",7064,0.0292731705981,2.164,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,5,"kMinusOne",7322,0.0217870743267,2.295,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,6,"kMinusOne",7079,0.0291635845593,2.277,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,7,"kMinusOne",7198,0.0285745596011,2.289,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,8,"kMinusOne",7185,0.0294854935481,2.287,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,9,"kMinusOne",7155,0.0298827429385,2.166,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,10,"kMinusOne",7276,0.0188351004082,2.193,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,1,"kMinusOne",21464,0.0180269033725,4.242,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,2,"kMinusOne",22124,0.0178625243144,4.272,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,3,"kMinusOne",21595,0.0186433248404,4.229,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,4,"kMinusOne",21747,0.0243691953645,4.186,"PaToH-D","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,5,"kMinusOne",22065,0.0195063148955,4.227,"PaToH-D","no","no",0
