,graph,k,epsilon,km1,imbalance,objective,totalPartitionTime,algorithm,failed,timeout,cut
142,bcsstk29.mtx.hgr,8,0.03,9478,0.0,km1,0.19699999999999998,HYPE,no,no,0
143,bcsstk29.mtx.hgr,16,0.03,14474,0.0,km1,0.19699999999999998,HYPE,no,no,0
144,bcsstk29.mtx.hgr,32,0.03,19463,0.0,km1,0.19699999999999998,HYPE,no,no,0
145,bcsstk29.mtx.hgr,64,0.03,26744,0.0,km1,0.19699999999999998,HYPE,no,no,0
146,bcsstk29.mtx.hgr,128,0.03,35884,0.0,km1,0.2,HYPE,no,no,0
147,BenElechi1.mtx.hgr,2,0.03,39978,0.0,km1,4.921,HYPE,no,no,0
148,BenElechi1.mtx.hgr,4,0.03,65400,0.0,km1,4.834,HYPE,no,no,0
149,BenElechi1.mtx.hgr,8,0.03,84262,0.0,km1,4.853,HYPE,no,no,0
150,BenElechi1.mtx.hgr,16,0.03,109166,0.0,km1,4.67,HYPE,no,no,0
151,BenElechi1.mtx.hgr,32,0.03,139806,0.0,km1,4.548,HYPE,no,no,0
152,BenElechi1.mtx.hgr,64,0.03,171331,0.0,km1,4.572,HYPE,no,no,0
153,BenElechi1.mtx.hgr,128,0.03,206257,0.0,km1,4.482,HYPE,no,no,0
154,bibd_49_3.mtx.hgr,2,0.03,776,0.0,km1,0.051,HYPE,no,no,0
155,bibd_49_3.mtx.hgr,4,0.03,1724,0.0,km1,0.052000000000000005,HYPE,no,no,0
156,bibd_49_3.mtx.hgr,8,0.03,3760,0.0,km1,0.051,HYPE,no,no,0
157,bibd_49_3.mtx.hgr,16,0.03,7309,0.0,km1,0.052000000000000005,HYPE,no,no,0
158,bibd_49_3.mtx.hgr,32,0.03,13566,0.0,km1,0.052000000000000005,HYPE,no,no,0
159,bibd_49_3.mtx.hgr,64,0.03,17825,0.0,km1,0.053,HYPE,no,no,0
160,bibd_49_3.mtx.hgr,128,0.03,21466,0.0,km1,0.053,HYPE,no,no,0
161,bips07_1998.mtx.hgr,2,0.03,1436,0.0,km1,0.043,HYPE,no,no,0
162,bips07_1998.mtx.hgr,4,0.03,1936,0.0,km1,0.045,HYPE,no,no,0
163,bips07_1998.mtx.hgr,8,0.03,2225,0.0,km1,0.044000000000000004,HYPE,no,no,0
164,bips07_1998.mtx.hgr,16,0.03,2687,0.0,km1,0.043,HYPE,no,no,0
165,bips07_1998.mtx.hgr,32,0.03,3188,0.0,km1,0.043,HYPE,no,no,0
166,bips07_1998.mtx.hgr,64,0.03,3712,0.0,km1,0.042,HYPE,no,no,0
167,bips07_1998.mtx.hgr,128,0.03,4772,0.0,km1,0.040999999999999995,HYPE,no,no,0
168,bloweya.mtx.hgr,2,0.03,5807,0.0,km1,0.12300000000000001,HYPE,no,no,0
169,bloweya.mtx.hgr,4,0.03,8827,0.0,km1,0.12300000000000001,HYPE,no,no,0
170,bloweya.mtx.hgr,8,0.03,10182,0.0,km1,0.12,HYPE,no,no,0
171,bloweya.mtx.hgr,16,0.03,11859,0.0,km1,0.11800000000000001,HYPE,no,no,0
172,bloweya.mtx.hgr,32,0.03,12188,0.0,km1,0.115,HYPE,no,no,0
173,bloweya.mtx.hgr,64,0.03,13361,0.0,km1,0.107,HYPE,no,no,0
174,bloweya.mtx.hgr,128,0.03,13989,0.0,km1,0.107,HYPE,no,no,0
175,bundle1.mtx.hgr,2,0.03,5459,0.0,km1,0.28,HYPE,no,no,0
176,bundle1.mtx.hgr,4,0.03,11034,0.0,km1,0.282,HYPE,no,no,0
177,bundle1.mtx.hgr,8,0.03,13244,0.0,km1,0.28300000000000003,HYPE,no,no,0
178,bundle1.mtx.hgr,16,0.03,17815,0.0,km1,0.282,HYPE,no,no,0
179,bundle1.mtx.hgr,32,0.03,23726,0.0,km1,0.281,HYPE,no,no,0
180,bundle1.mtx.hgr,64,0.03,35882,0.0,km1,0.282,HYPE,no,no,0
181,bundle1.mtx.hgr,128,0.03,50945,0.0,km1,0.28300000000000003,HYPE,no,no,0
182,c-55.mtx.hgr,2,0.03,14426,0.0,km1,0.26,HYPE,no,no,0
183,c-55.mtx.hgr,4,0.03,33585,0.0,km1,0.259,HYPE,no,no,0
184,c-55.mtx.hgr,8,0.03,52722,0.0,km1,0.26,HYPE,no,no,0
185,c-55.mtx.hgr,16,0.03,74417,0.0,km1,0.261,HYPE,no,no,0
186,c-55.mtx.hgr,32,0.03,91889,0.0,km1,0.266,HYPE,no,no,0
187,c-55.mtx.hgr,64,0.03,106988,0.0,km1,0.257,HYPE,no,no,0
188,c-55.mtx.hgr,128,0.03,118902,0.0,km1,0.263,HYPE,no,no,0
189,c-61.mtx.hgr,2,0.03,13894,0.0,km1,0.239,HYPE,no,no,0
190,c-61.mtx.hgr,4,0.03,23997,0.0,km1,0.24,HYPE,no,no,0
191,c-61.mtx.hgr,8,0.03,34283,0.0,km1,0.24100000000000002,HYPE,no,no,0
192,c-61.mtx.hgr,16,0.03,40522,0.0,km1,0.242,HYPE,no,no,0
193,c-61.mtx.hgr,32,0.03,45748,0.0,km1,0.239,HYPE,no,no,0
194,c-61.mtx.hgr,64,0.03,50687,0.0,km1,0.23800000000000002,HYPE,no,no,0
195,c-61.mtx.hgr,128,0.03,56406,0.0,km1,0.237,HYPE,no,no,0
196,c-64.mtx.hgr,2,0.03,15572,0.0,km1,0.4,HYPE,no,no,0
197,c-64.mtx.hgr,4,0.03,32238,0.0,km1,0.4,HYPE,no,no,0
198,c-64.mtx.hgr,8,0.03,53346,0.0,km1,0.40299999999999997,HYPE,no,no,0
199,c-64.mtx.hgr,16,0.03,68155,0.0,km1,0.40299999999999997,HYPE,no,no,0
200,c-64.mtx.hgr,32,0.03,90464,0.0,km1,0.405,HYPE,no,no,0
201,c-64.mtx.hgr,64,0.03,98952,0.0,km1,0.406,HYPE,no,no,0
202,c-64.mtx.hgr,128,0.03,124128,0.0,km1,0.408,HYPE,no,no,0
203,ca-CondMat.mtx.hgr,2,0.03,9193,0.0,km1,0.134,HYPE,no,no,0
204,ca-CondMat.mtx.hgr,4,0.03,19503,0.0,km1,0.13,HYPE,no,no,0
205,ca-CondMat.mtx.hgr,8,0.03,29793,0.0,km1,0.13,HYPE,no,no,0
206,ca-CondMat.mtx.hgr,16,0.03,40578,0.0,km1,0.13,HYPE,no,no,0
207,ca-CondMat.mtx.hgr,32,0.03,49672,0.0,km1,0.131,HYPE,no,no,0
208,ca-CondMat.mtx.hgr,64,0.03,56599,0.0,km1,0.129,HYPE,no,no,0
209,ca-CondMat.mtx.hgr,128,0.03,62542,0.0,km1,0.127,HYPE,no,no,0
210,cage10.mtx.hgr,2,0.03,5647,0.0,km1,0.068,HYPE,no,no,0
211,cage10.mtx.hgr,4,0.03,12568,0.0,km1,0.068,HYPE,no,no,0
212,cage10.mtx.hgr,8,0.03,19976,0.0,km1,0.07,HYPE,no,no,0
213,cage10.mtx.hgr,16,0.03,29546,0.0,km1,0.07200000000000001,HYPE,no,no,0
214,cage10.mtx.hgr,32,0.03,37996,0.0,km1,0.07200000000000001,HYPE,no,no,0
215,cage10.mtx.hgr,64,0.03,50073,0.0,km1,0.073,HYPE,no,no,0
216,cage10.mtx.hgr,128,0.03,62112,0.0,km1,0.071,HYPE,no,no,0
217,case39.mtx.hgr,2,0.03,16046,0.0,km1,0.53,HYPE,no,no,0
218,case39.mtx.hgr,4,0.03,29200,0.0,km1,0.531,HYPE,no,no,0
219,case39.mtx.hgr,8,0.03,43457,0.0,km1,0.525,HYPE,no,no,0
220,case39.mtx.hgr,16,0.03,57745,0.0,km1,0.539,HYPE,no,no,0
221,case39.mtx.hgr,32,0.03,76714,0.0,km1,0.53,HYPE,no,no,0
222,case39.mtx.hgr,64,0.03,98103,0.0,km1,0.524,HYPE,no,no,0
223,case39.mtx.hgr,128,0.03,122734,0.0,km1,0.527,HYPE,no,no,0
224,ccc.mtx.hgr,2,0.03,10006,0.0,km1,0.102,HYPE,no,no,0
225,ccc.mtx.hgr,4,0.03,24546,0.0,km1,0.107,HYPE,no,no,0
226,ccc.mtx.hgr,8,0.03,32125,0.0,km1,0.107,HYPE,no,no,0
227,ccc.mtx.hgr,16,0.03,39815,0.0,km1,0.106,HYPE,no,no,0
228,ccc.mtx.hgr,32,0.03,43980,0.0,km1,0.106,HYPE,no,no,0
229,ccc.mtx.hgr,64,0.03,47018,0.0,km1,0.10400000000000001,HYPE,no,no,0
230,ccc.mtx.hgr,128,0.03,49938,0.0,km1,0.10400000000000001,HYPE,no,no,0
231,cfd1.mtx.hgr,2,0.03,12073,0.0,km1,0.747,HYPE,no,no,0
232,cfd1.mtx.hgr,4,0.03,27630,0.0,km1,0.7140000000000001,HYPE,no,no,0
233,cfd1.mtx.hgr,8,0.03,37115,0.0,km1,0.71,HYPE,no,no,0
234,cfd1.mtx.hgr,16,0.03,56198,0.0,km1,0.715,HYPE,no,no,0
235,cfd1.mtx.hgr,32,0.03,77911,0.0,km1,0.7190000000000001,HYPE,no,no,0
236,cfd1.mtx.hgr,64,0.03,97530,0.0,km1,0.721,HYPE,no,no,0
237,cfd1.mtx.hgr,128,0.03,141917,0.0,km1,0.7140000000000001,HYPE,no,no,0
238,Chebyshev4.mtx.hgr,2,0.03,9321,0.0,km1,2.7289999999999996,HYPE,no,no,0
239,Chebyshev4.mtx.hgr,4,0.03,29039,0.0,km1,2.759,HYPE,no,no,0
240,Chebyshev4.mtx.hgr,8,0.03,51885,0.0,km1,2.6260000000000003,HYPE,no,no,0
241,Chebyshev4.mtx.hgr,16,0.03,72705,0.0,km1,2.5639999999999996,HYPE,no,no,0
242,Chebyshev4.mtx.hgr,32,0.03,95527,0.0,km1,2.469,HYPE,no,no,0
243,Chebyshev4.mtx.hgr,64,0.03,132549,0.0,km1,2.378,HYPE,no,no,0
244,Chebyshev4.mtx.hgr,128,0.03,169748,0.0,km1,2.3280000000000003,HYPE,no,no,0
