"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"2D_54019_highK.mtx.hgr",2,0.03,10,"kMinusOne",469,0,0.585,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,1,"kMinusOne",1250,7.40466493891e-05,0.786,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,2,"kMinusOne",1251,7.40466493891e-05,0.806,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,3,"kMinusOne",1253,7.40466493891e-05,0.81,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,4,"kMinusOne",1251,0.000296186597556,0.81,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,5,"kMinusOne",1251,7.40466493891e-05,0.905,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,6,"kMinusOne",1253,7.40466493891e-05,0.801,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,7,"kMinusOne",1249,7.40466493891e-05,0.845,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,8,"kMinusOne",1252,7.40466493891e-05,0.78,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,9,"kMinusOne",1251,0.00762680488708,0.809,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",4,0.03,10,"kMinusOne",1262,7.40466493891e-05,0.886,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,1,"kMinusOne",2651,0.000148082333778,1.283,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,2,"kMinusOne",2657,0.00281356434177,1.311,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,3,"kMinusOne",2667,0.000148082333778,1.293,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,4,"kMinusOne",2636,0.000444247001333,1.283,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,5,"kMinusOne",2648,0.00370205834444,1.254,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,6,"kMinusOne",2654,0.000148082333778,1.237,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,7,"kMinusOne",2645,0,1.256,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,8,"kMinusOne",2655,0.000148082333778,1.21,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,9,"kMinusOne",2658,0.000148082333778,1.367,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,10,"kMinusOne",2682,0,1.247,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,1,"kMinusOne",4697,0.000296120817293,1.769,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,2,"kMinusOne",4655,0.00414569144211,1.742,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,3,"kMinusOne",4704,0.000296120817293,1.749,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,4,"kMinusOne",4624,0.000296120817293,1.814,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,5,"kMinusOne",4698,0.00384957062481,1.742,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,6,"kMinusOne",4649,0.00384957062481,1.729,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,7,"kMinusOne",4748,0.00414569144211,1.829,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,8,"kMinusOne",4739,0.00384957062481,1.759,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,9,"kMinusOne",4593,0.000296120817293,1.745,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,10,"kMinusOne",4661,0.000296120817293,1.923,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,1,"kMinusOne",7281,0.00177619893428,2.355,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,2,"kMinusOne",7318,0.00355239786856,2.29,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,3,"kMinusOne",7247,0.00177619893428,2.38,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,4,"kMinusOne",7261,0.00177619893428,2.301,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,5,"kMinusOne",7291,0.00236826524571,2.278,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,6,"kMinusOne",7262,0.00177619893428,2.314,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,7,"kMinusOne",7154,0.00177619893428,2.277,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,8,"kMinusOne",7246,0.00177619893428,2.406,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,9,"kMinusOne",7258,0,2.31,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,10,"kMinusOne",7348,0.00118413262285,2.52,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,1,"kMinusOne",11232,0.00118343195266,3.16,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,2,"kMinusOne",11106,0.00118343195266,3.11,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,3,"kMinusOne",11276,0.00118343195266,3.052,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,4,"kMinusOne",11123,0.00118343195266,2.977,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,5,"kMinusOne",11176,0.00118343195266,2.983,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,6,"kMinusOne",11050,0.00118343195266,3.158,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,7,"kMinusOne",11188,0.00236686390533,3.03,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,8,"kMinusOne",11016,0.00118343195266,3.074,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,9,"kMinusOne",10958,0.00473372781065,3.024,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,10,"kMinusOne",10915,0.00118343195266,3.411,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,1,"kMinusOne",16297,0,3.802,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,2,"kMinusOne",16456,0,3.808,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,3,"kMinusOne",16390,0,4.009,"PaToH-Q","no","no",0
